course_name,course_type,institution,cutoff_2024,cutoff_2023,cutoff_2022,cutoff_2021
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,KARATINA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,25.832,24.443,24.342,30.427
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,MULTIMEDIA UNIVERSITY OF KENYA,30.819,28.075,25.777,31.618
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,DAYSTAR UNIVERSITY,,18.831,19.914,27.913
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,UNIVERSITY OF ELDORET,23.479,23.568,19.914,29.666
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,UNIVERSITY OF EMBU,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,KISII UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,25.036,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,CHUKA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,TAITA TAVETA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MOUNT KENYA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,UNIVERSITY OF NAIROBI,26.864,27.458,31.98,33.535
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,PWANI UNIVERSITY,,15.683,15.982,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,15.683,15.982,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",Degree,MASENO UNIVERSITY,,25.535,23.851,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,24.943,24.479,25.786
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,MULTIMEDIA UNIVERSITY OF KENYA,,15.683,15.982,16.787
BACHELOR OF SCIENCE (MATHEMATICS),Degree,RONGO UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN MATHEMATICS,Degree,CHUKA UNIVERSITY,,23.741,19.914,24.917
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",Degree,MASENO UNIVERSITY,22.338,22.755,19.914,27.259
BACHELOR OF SCIENCE (MATHEMATICS),Degree,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,UNIVERSITY OF NAIROBI,29.054,32.945,32.487,33.862
BACHELOR OF SCIENCE (MATHEMATICS),Degree,MACHAKOS UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,MAASAI MARA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,PWANI UNIVERSITY,,18.831,19.914,23.895
BACHELOR OF SCIENCE (MATHEMATICS),Degree,TECHNICAL UNIVERSITY OF KENYA,28.706,24.252,26.695,31.045
BACHELOR OF SCIENCE (MATHEMATICS),Degree,KIBABII UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN MATHEMATICS,Degree,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN MATHEMATICS,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN MATHEMATICS,Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,18.831,19.914,20.1
BACHELOR OF SCIENCE (BIOLOGY),Degree,UNIVERSITY OF EMBU,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOLOGY),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOLOGY,Degree,CHUKA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),Degree,KISII UNIVERSITY,,15.683,16.974,
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOLOGY),Degree,KAIMOSI FRIENDS UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOLOGY),Degree,UNIVERSITY OF NAIROBI,,24.957,16.974,17.459
BACHELOR OF SCIENCE (BIOLOGY),Degree,KENYATTA UNIVERSITY,,24.74,16.974,17.459
BACHELOR OF SCIENCE (BIOLOGY),Degree,KIBABII UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOLOGY,Degree,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOLOGY,Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOLOGY,Degree,MACHAKOS UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,CHUKA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,UNIVERSITY OF EMBU,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,KISII UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,23.624,23.504,16.974,26.117
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,KENYA METHODIST UNIVERSITY,,,16.974,
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,RONGO UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,EGERTON UNIVERSITY,25.006,25.661,25.756,26.362
BACHELOR OF SCIENCE IN BIOCHEMISTRY,Degree,TECHNICAL UNIVERSITY OF MOMBASA,,15.683,16.974,17.459
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",Degree,MASENO UNIVERSITY,28.777,30.294,16.974,28.679
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,UNIVERSITY OF NAIROBI,29.936,32.695,31.056,36.603
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,MOI UNIVERSITY,,25.581,27.542,28.838
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,UNIVERSITY OF KABIANGA,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,PWANI UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,TECHNICAL UNIVERSITY OF KENYA,24.194,31.23,32.89,32.888
BACHELOR OF SCIENCE (BIOCHEMISTRY),Degree,KENYATTA UNIVERSITY,27.87,32.976,31.582,33.576
BACHELOR OF SCIENCE IN BIOCHEMISTRY,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.683,16.974,17.459
BACHELOR OF SCIENCE IN BIOCHEMISTRY,Degree,UNIVERSITY OF ELDORET,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY,Degree,LAIKIPIA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),Degree,UNIVERSITY OF EMBU,,15.683,15.982,16.787
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),Degree,KISII UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,Degree,TAITA TAVETA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,Degree,KIRINYAGA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,Degree,UNIVERSITY OF ELDORET,,15.683,15.982,16.787
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),Degree,KENYATTA UNIVERSITY,,25.901,27.578,25.479
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),Degree,UNIVERSITY OF NAIROBI,24.726,27.085,31.513,28.611
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,24.651,24.218,25.969
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,Degree,MACHAKOS UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,Degree,MULTIMEDIA UNIVERSITY OF KENYA,,15.683,15.982,16.787
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",Degree,MASENO UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,CHUKA UNIVERSITY,35.794,35.372,35.626,33.917
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,UNIVERSITY OF EMBU,32.223,28.842,24.551,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,34.815,36.48,36.441,34.082
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,KIRINYAGA UNIVERSITY,23.768,24.086,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,AFRICA NAZARENE UNIVERSITY,,18.814,18.638,37.504
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,RONGO UNIVERSITY,,25.117,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,EGERTON UNIVERSITY,38.369,38.37,37.746,35.309
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,GARISSA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,GRETSA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,KISII UNIVERSITY,24.741,23.41,23.378,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,CO-OPERATIVE UNIVERSITY OF KENYA,38.858,37.695,38.257,36.09
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,TECHNICAL UNIVERSITY OF MOMBASA,34.639,35.209,36.915,36.536
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,KABARAK UNIVERSITY,23.223,24.072,18.638,35.68
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,RIARA UNIVERSITY,36.745,35.796,,38.792
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,BOMET UNIVERSITY COLLEGE,,18.814,,
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,TURKANA UNIVERSITY COLLEGE,,18.814,18.638,
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,18.814,18.638,33.279
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,KAIMOSI FRIENDS UNIVERSITY,,25.508,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,ZETECH UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,MOUNT KENYA UNIVERSITY,38.362,39.238,37.675,37.646
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,43.23,44.101,43.809,42.489
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,KARATINA UNIVERSITY,28.128,24.643,24.097,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,33.319,33.433,33.475,28.437
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,39.579,39.746,39.405,38.87
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,MULTIMEDIA UNIVERSITY OF KENYA,41.29,41.039,41.44,41.049
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,UNIVERSITY OF ELDORET,26.594,35.408,35.319,32.922
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,Degree,ST PAULS UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,THARAKA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,ALUPE UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,34.654,33.591,31.293,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,THE EAST AFRICAN UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,UNIVERSITY OF NAIROBI,44.401,44.825,44.122,44.178
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,MOI UNIVERSITY,22.815,38.968,37.892,39.701
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,MASENO UNIVERSITY,36.264,38.155,37.84,36.045
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,MACHAKOS UNIVERSITY,34.156,35.264,34.867,31.822
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,MAASAI MARA UNIVERSITY,33.828,32.782,31.458,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,UNIVERSITY OF KABIANGA,24.8,24.015,25.012,26.731
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,PWANI UNIVERSITY,30.942,34.003,34.938,32.972
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,KENYATTA UNIVERSITY,42.399,43.497,43.23,42.474
BACHELOR OF SCIENCE (COMPUTER SCIENCE),Degree,KIBABII UNIVERSITY,23.984,26.078,28.012,25.988
BACHELOR OF SCIENCE (COMPUTER SCIENCE,Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,35.478,35.024,34.872,31.734
BACHELOR OF SCIENCE (COMPUTER SCIENCE,Degree,LAIKIPIA UNIVERSITY,25.433,26.766,25.264,19.223
BACHELOR OF SCIENCE (CIVIL ENGINEERING),Degree,TAITA TAVETA UNIVERSITY,34.293,28.212,,
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,UNIVERSITY OF EMBU,36.545,,,
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,TECHNICAL UNIVERSITY OF MOMBASA,37.233,38.391,38.702,36.844
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,42.3,42.618,42.178,42.143
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,36.156,32.717,,
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,39.366,39.863,39.769,36.958
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,MACHAKOS UNIVERSITY,37.272,38.015,37.584,35.54
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,Degree,MULTIMEDIA UNIVERSITY OF KENYA,38.79,39.11,38.924,36.413
BACHELOR OF ENGINEERING (CIVIL ENGINEERING),Degree,TECHNICAL UNIVERSITY OF KENYA,40.572,41.924,41.524,40.771
BACHELOR OF SCIENCE (CIVIL ENGINEERING),Degree,UNIVERSITY OF NAIROBI,43.121,43.463,43.091,42.723
BACHELOR OF SCIENCE (CIVIL ENGINEERING),Degree,SOUTH EASTERN KENYA UNIVERSITY,35.556,34.851,35.858,35.498
BACHELOR OF SCIENCE (CIVIL ENGINEERING),Degree,KENYATTA UNIVERSITY,42.546,42.574,42.148,41.517
BACHELOR OF SCIENCE IN ELECTRICAL & ELECTRONIC ENGINEERING,Degree,TECHNICAL UNIVERSITY OF MOMBASA,36.417,35.82,37.437,37.048
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,Degree,CHUKA UNIVERSITY,36.952,35.699,37.673,34.397
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,Degree,EGERTON UNIVERSITY,39.003,36.804,,
BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONICS ENGINEERING),Degree,SOUTH EASTERN KENYA UNIVERSITY,33.976,32.815,34.532,34.105
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONIC ENGINEERING,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,42.755,42.434,42.291,41.272
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONIC ENGINEERING,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,39.302,38.823,39.454,38.127
BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONIC ENGINEERING),Degree,UNIVERSITY OF NAIROBI,42.208,43.003,42.776,41.218
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,35.822,35.502,36.165,32.646
