course_name,course_type,institution,cutoff_2024,cutoff_2023,cutoff_2022,cutoff_2021
BACHELOR OF ECONOMICS,Degree,TAITA TAVETA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,KIRINYAGA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ECONOMICS,Degree,CO-OPERATIVE UNIVERSITY OF KENYA,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,MOUNT KENYA UNIVERSITY,,18.831,19.914,26.994
BACHELOR OF ECONOMICS,Degree,UNIVERSITY OF NAIROBI,27.034,26.096,30.453,33.894
BACHELOR OF ECONOMICS,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,28.381,27.073,22.977,33.682
BACHELOR OF ECONOMICS,Degree,KARATINA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,MACHAKOS UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF ECONOMICS,Degree,TECHNICAL UNIVERSITY OF KENYA,26.467,25.284,24.78,32.968
BACHELOR OF ECONOMICS,Degree,KENYATTA UNIVERSITY,27.068,26.413,24.1,32.744
BACHELOR OF SCIENCE IN ECONOMICS,Degree,TURKANA UNIVERSITY COLLEGE,,18.831,19.914,
BACHELOR OF SCIENCE IN ECONOMICS,Degree,KAIMOSI FRIENDS UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ECONOMICS,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ECONOMICS,Degree,MAASAI MARA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ECONOMICS,Degree,MULTIMEDIA UNIVERSITY OF KENYA,,18.831,19.914,23.389
BACHELOR OF SCIENCE (INFORMATION SCIENCE),Degree,RONGO UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE (INFORMATION SCIENCES AND KNOWLEDGE MANAGEMENT),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,21.375,,22.544
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,Degree,CHUKA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,Degree,KENYA METHODIST UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,Degree,TECHNICAL UNIVERSITY OF MOMBASA,,21.375,21.444,22.544
BACHELOR OF SCIENCE IN INFORMATION SCIENCES,Degree,GARISSA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE (INFORMATION SCIENCE),Degree,MAASAI MARA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE (INFORMATION SCIENCE),Degree,TECHNICAL UNIVERSITY OF KENYA,27.365,28.183,29.529,28.594
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,Degree,MOUNT KENYA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,21.375,21.444,22.544
BACHELOR OF SCIENCE (INFORMATION SCIENCES),Degree,MOI UNIVERSITY,,21.375,21.444,25.346
BACHELOR OF SCIENCE (INFORMATION SCIENCES AND KNOWLEDGE MANAGEMENT),Degree,UNIVERSITY OF KABIANGA,,21.375,21.444,22.544
BACHELOR OF BUSINESS AND MANAGEMENT,Degree,KISII UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,GARISSA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,CO-OPERATIVE UNIVERSITY OF KENYA,28.889,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,KIRINYAGA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,RONGO UNIVERSITY,,21.375,21.444,22.544
"BACHELOR OF SCIENCE IN MARKETING MANAGEMENT, WITH IT",Degree,MASENO UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,ISLAMIC UNIVERSITY OF KENYA,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,BOMET UNIVERSITY COLLEGE,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,ALUPE UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,TURKANA UNIVERSITY COLLEGE,,21.375,21.444,
BACHELOR OF BUSINESS MANAGEMENT,Degree,MARIST INTERNATIONAL UNIVERSITY COLLEGE,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,MOUNT KENYA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,MOI UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,KARATINA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,UNIVERSITY OF ELDORET,,21.375,21.444,22.544
BACHELOR OF BUSINESS MANAGEMENT,Degree,KIBABII UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION,Degree,THE EAST AFRICAN UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION IN MANAGEMENT,Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,21.375,21.444,22.544
BACHELOR OF SECRETARIAL MANAGEMENT AND ADMINISTRATION,Degree,KISII UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,SCOTT CHRISTIAN UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,KENYA METHODIST UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,TECHNICAL UNIVERSITY OF MOMBASA,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION,Degree,RIARA UNIVERSITY,,24.913,24.258,25.306
BACHELOR OF BUSINESS ADMINISTRATION WITH IT,Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION ( WITH IT),Degree,TOM MBOYA UNIVERSITY,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION ( WITH IT),Degree,MASENO UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,AFRICA INTERNATIONAL UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION,Degree,ST PAULS UNIVERSITY,,21.375,21.444,22.544
BACHELOR IN BUSINESS ADMINISTRATION IN MARKETING,Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION,Degree,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,,21.375,21.444,22.544
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT,Degree,TECHNICAL UNIVERSITY OF MOMBASA,,21.375,21.444,22.544
BACHELOR OF BUSINESS ADMINISTRATION IN OFFICE ADMINISTRATION,Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,21.375,21.444,22.544
"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,28.613,26.909,28.514,22.636
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,KISII UNIVERSITY,26.332,23.659,22.358,22.636
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,KENYA METHODIST UNIVERSITY,,,22.358,22.636
BACHELOR OF EDUCATION IN SPECIAL EDUCATION,Degree,RONGO UNIVERSITY,22.781,24.65,25.498,22.636
"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",Degree,TOM MBOYA UNIVERSITY,23.849,24.218,22.358,22.636
"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",Degree,MASENO UNIVERSITY,33.905,32.47,34.202,29.942
BACHELOR OF EDUCATION IN SPECIAL EDUCATION,Degree,MACHAKOS UNIVERSITY,25.397,24.064,25.732,22.636
BACHELOR OF EDUCATION IN SPECIAL NEEDS EDUCATION,Degree,ST PAULS UNIVERSITY,,21.858,22.358,22.636
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,BOMET UNIVERSITY COLLEGE,22.802,22.616,22.358,22.636
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,PWANI UNIVERSITY,24.487,25.847,30.257,28.217
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,UNIVERSITY OF ELDORET,31.079,27.999,31.266,25.725
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),Degree,KENYATTA UNIVERSITY,35.53,34.963,37.278,36.418
BACHELOR OF SCIENCE IN TOURISM MANAGEMENT,Degree,TECHNICAL UNIVERSITY OF MOMBASA,25.513,23.801,26.594,27.029
BACHELOR OF TOURISM MANAGEMENT,Degree,CHUKA UNIVERSITY,26.275,24.284,26.854,25.712
BACHELOR OF TOURISM MANAGEMENT,Degree,RONGO UNIVERSITY,21.637,22.806,24.248,22.544
BACHELOR OF TOURISM MANAGEMENT,Degree,MOI UNIVERSITY,22.365,22.394,25.632,25.815
BACHELOR OF TOURISM MANAGEMENT,Degree,KARATINA UNIVERSITY,23.831,21.375,22.836,23.763
BACHELOR OF TOURISM MANAGEMENT,Degree,MAASAI MARA UNIVERSITY,27.437,25.915,27.905,25.744
BACHELOR OF TOURISM MANAGEMENT,Degree,UNIVERSITY OF KABIANGA,22.728,21.375,23.184,23.031
BACHELOR OF TOURISM MANAGEMENT,Degree,UNIVERSITY OF ELDORET,24.194,23.155,25.923,25.445
BACHELOR OF TECHNOLOGY (TOURISM MANAGEMENT),Degree,TECHNICAL UNIVERSITY OF KENYA,30.44,28.064,31.035,30.119
BACHELOR OF SCIENCE (TOURISM MANAGEMENT),Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,22.257,21.375,23.085,22.544
BACHELOR OF SCIENCE IN TOURISM MANAGEMENT,Degree,ALUPE UNIVERSITY,22.311,,,22.544
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY,Degree,SCOTT CHRISTIAN UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),Degree,KCA UNIVERSITY,22.152,22.216,18.638,25.901
BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,21.536,24.975,22.415,25.253
BACHELOR OF TECHNOLOGY IN INFORMATION & COMMUNICATION TECHNOLOGY,Degree,TECHNICAL UNIVERSITY OF MOMBASA,26.961,26.749,25.451,27.663
BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY MANAGEMENT),Degree,MASENO UNIVERSITY,29.229,28.658,29.767,29.316
BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),Degree,LAIKIPIA UNIVERSITY,21.831,22.972,18.638,19.223
BACHELOR OF ARTS (MUSIC),Degree,KISII UNIVERSITY,,23.417,22.829,
"BACHELOR OF ARTS (MUSIC, WITH IT)",Degree,MASENO UNIVERSITY,,23.417,22.829,23.07
BACHELOR OF ARTS (MUSIC),Degree,MOI UNIVERSITY,,23.417,22.829,
BACHELOR OF ARTS (MUSIC),Degree,"UNIVERSITY OF EASTERN AFRICA, BARATON",,23.417,22.829,23.07
BACHELOR OF ARTS (MUSIC),Degree,DAYSTAR UNIVERSITY,,23.417,,
BACHELOR OF SCIENCE (STATISTICS),Degree,UNIVERSITY OF EMBU,,18.831,19.914,20.1
BACHELOR OF SCIENCE (STATISTICS),Degree,TAITA TAVETA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (STATISTICS),Degree,KIRINYAGA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (STATISTICS),Degree,EGERTON UNIVERSITY,24.769,26.311,19.914,28.937
BACHELOR OF SCIENCE (STATISTICS),Degree,UNIVERSITY OF NAIROBI,28.424,35.192,33.673,37.6
BACHELOR OF SCIENCE (STATISTICS),Degree,LAIKIPIA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (STATISTICS),Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN STATISTICS,Degree,MOUNT KENYA UNIVERSITY,,18.831,19.914,28.859
BACHELOR OF SCIENCE IN STATISTICS,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,28.979,30.147,27.899,34.336
BACHELOR OF SCIENCE STATISTICS,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),Degree,GARISSA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),Degree,BOMET UNIVERSITY COLLEGE,,18.814,18.638,19.223
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),Degree,MOI UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),Degree,MAASAI MARA UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),Degree,UNIVERSITY OF KABIANGA,,18.814,18.638,19.223
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),Degree,ALUPE UNIVERSITY,,18.814,18.638,19.223
BACHELOR OF SCIENCE (STATISTICS & PROGRAMMING),Degree,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,,18.814,18.638,
BACHELOR OF SCIENCE (STATISTICS & PROGRAMMING),Degree,KENYATTA UNIVERSITY,28.99,23.869,30.004,29.9
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH PROGRAMMING),Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,18.814,18.638,19.223
BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,Degree,UNIVERSITY OF ELDORET,,18.814,18.638,19.223
"BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)",Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN APPLIED STATISTICS,Degree,CHUKA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN APPLIED STATISTICS,Degree,CO-OPERATIVE UNIVERSITY OF KENYA,,18.831,19.914,20.1
BACHELOR OF SCIENCE (APPLIED STATISTICS),Degree,KISII UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (APPLIED STATISTICS),Degree,KIRINYAGA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (APPLIED STATISTICS),Degree,RONGO UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)",Degree,KAIMOSI FRIENDS UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)",Degree,MASENO UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),Degree,KISII UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),Degree,AFRICA NAZARENE UNIVERSITY,,22.449,22.916,25.41
BACHELOR OF ARTS COMMUNITY DEVELOPMENT,Degree,GARISSA UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,SCOTT CHRISTIAN UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,GRETSA UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,PAN AFRICA CHRISTIAN UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),Degree,ALUPE UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),Degree,MOI UNIVERSITY,,22.449,25.226,22.926
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),Degree,MAASAI MARA UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,LUKENYA UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,MOUNT KENYA UNIVERSITY,,22.449,22.916,24.837
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,KARATINA UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,DAYSTAR UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,Degree,ST PAULS UNIVERSITY,,22.449,22.916,22.926
BACHELOR OF BROADCAST JOURNALISM,Degree,TECHNICAL UNIVERSITY OF MOMBASA,26.8,24.24,30.15,30.694
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),Degree,KISII UNIVERSITY,23.345,21.858,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),Degree,KENYA METHODIST UNIVERSITY,,,,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,KCA UNIVERSITY,,21.858,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,22.463,21.858,22.358,22.636
BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,22.049,23.906,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,KOITALEEL SAMOEI UNIVERSITY COLLEGE,,21.858,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,LUKENYA UNIVERSITY,,21.858,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,UNIVERSITY OF NAIROBI,21.889,23.552,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,,21.858,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,PWANI UNIVERSITY,,23.231,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,KENYATTA UNIVERSITY,24.665,27.337,24.922,24.737
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),Degree,KIBABII UNIVERSITY,22.766,22.789,22.358,22.636
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),Degree,LAIKIPIA UNIVERSITY,,21.858,22.358,22.636
BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,Degree,THARAKA UNIVERSITY,22.816,24.541,22.358,22.636
BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,Degree,KAIMOSI FRIENDS UNIVERSITY,22.459,24.469,22.358,22.636
BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,Degree,MACHAKOS UNIVERSITY,,21.858,22.358,22.636
BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),Degree,TURKANA UNIVERSITY COLLEGE,,21.858,22.358,
BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),Degree,AFRICA INTERNATIONAL UNIVERSITY,,21.858,22.358,22.636
"BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION, WITH IT)",Degree,TOM MBOYA UNIVERSITY,21.972,21.858,22.358,22.636
"BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION, WITH IT)",Degree,MASENO UNIVERSITY,22.993,23.303,22.358,22.636
BACHELOR OF JOURNALISM & MASS COMMUNICATION,Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27.444,28.014,30.615,29.253
BACHELOR OF JOURNALISM & MASS COMMUNICATION,Degree,TECHNICAL UNIVERSITY OF MOMBASA,27.849,29.885,32.201,32.703
BACHELOR OF ARTS IN JOURNALISM AND MASS COMMUNICATION,Degree,CHUKA UNIVERSITY,29.384,29.127,32.408,30.471
BACHELOR OF ARTS IN JOURNALISM AND MASS COMMUNICATION,Degree,THARAKA UNIVERSITY,23.431,23.425,27.648,26.463
BACHELOR OF ARTS IN DIGITAL JOURNALISM AND MASS COMMUNICATION,Degree,MOUNT KENYA UNIVERSITY,22.68,,,
BACHELOR OF JOURNALISM AND MASS COMMUNICATION,Degree,UNIVERSITY OF NAIROBI,31.685,29.254,34.056,35.592
BACHELOR OF JOURNALISM AND MASS COMMUNICATION,Degree,KIBABII UNIVERSITY,26.49,23.688,29.587,28.171
BACHELOR OF SCIENCE (COMMUNICATION & JOURNALISM),Degree,RONGO UNIVERSITY,23.723,24.367,27.901,25.295
BACHELOR OF SCIENCE (COMMUNICATION AND JOURNALISM),Degree,KENYA METHODIST UNIVERSITY,,22.449,22.916,27.554
BACHELOR OF COMMUNICATION & JOURNALISM,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,25.762,26.222,30.372,29.808
BACHELOR OF COMMUNICATION & JOURNALISM,Degree,MAASAI MARA UNIVERSITY,26.581,26.116,29.901,28.01
BACHELOR OF SCIENCE (COMMUNICATION AND JOURNALISM),Degree,MOI UNIVERSITY,23.564,30.2,31.074,
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),Degree,UNIVERSITY OF EMBU,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,CHUKA UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,UNIVERSITY OF EMBU,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,TAITA TAVETA UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,KISII UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,RONGO UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,EGERTON UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE(HORTICULTURE),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.864,17.043,17.459
BACHELOR OF SCIENCE HORTICULTURE,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,15.864,23.773,17.459
BACHELOR OF SCIENCE HORTICULTURE,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,UNIVERSITY OF KABIANGA,,15.864,17.043,17.459
BACHELOR OF SCIENCE (HORTICULTURE),Degree,UNIVERSITY OF ELDORET,,15.864,17.043,17.459
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,15.864,17.043,17.459
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",Degree,MASENO UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),Degree,UNIVERSITY OF EMBU,,15.864,17.043,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),Degree,UNIVERSITY OF NAIROBI,,15.864,24.003,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),Degree,SOUTH EASTERN KENYA UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),Degree,CO-OPERATIVE UNIVERSITY OF KENYA,,15.864,16.974,17.459
BACHELOR OF SCIENCE(AGRIBUSINESS MANAGEMENT),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.864,16.974,17.459
BACHELOR OF SCIENCE IN AGRIBUSINESS MANGEMENT,Degree,KABARAK UNIVERSITY,,15.864,16.974,17.459
BACHELOR OF SCIENCE AGRIBUSINESS MANAGEMENT,Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,15.864,16.974,17.459
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),Degree,PWANI UNIVERSITY,,15.864,16.974,17.459
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),Degree,KENYATTA UNIVERSITY,20.942,22.511,21.53,25.219
"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,15.864,16.974,17.459
"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",Degree,MASENO UNIVERSITY,21.655,15.864,16.974,17.459
BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT),Degree,MOI UNIVERSITY,,15.864,16.974,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,29.517,27.362,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,Degree,KIRINYAGA UNIVERSITY,,,,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,Degree,KENYA METHODIST UNIVERSITY,,15.864,17.043,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,Degree,BOMET UNIVERSITY COLLEGE,,15.864,17.043,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,15.864,17.043,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,Degree,DAYSTAR UNIVERSITY,,15.864,17.043,17.459
