cluster_code,programme_name,requirements
13C,Bachelor of Science (Community Health and Development),BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Community Health and Development,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Community Health Education,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science (Population Health),BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science (Community Health & Development),BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Community Health,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Global Health and Emporiatrics,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Health Systems Management,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Health Services Management,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13D,Bachelor of Veterinary Medicine,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY/AGRIC- C+
13E,Bachelor of Science (Biostatistics),BIO - C+ MAT ALTERNATIVE A - C+
13E,Bachelor of Science in Biostatistics,BIO - C+ MAT ALTERNATIVE A - C+
13E,Bachelor of Science in Epidemiology and Biostatistics,BIO - C+ MAT ALTERNATIVE A - C+
13F,Bachelor of Science (Biomedical Science and Technology,BIO - C+ MAT ALTERNATIVE A/PHY - C+
13F,Bachelor of Science in Biomedical Science and Technology,BIO - C+ MAT ALTERNATIVE A/PHY - C+
13F,Bachelor of Science (Biomedical Science & Technology),BIO - C+ MAT ALTERNATIVE A/PHY - C+
13F,Bachelor of Science (Laboratory Sciences),BIO - C+ MAT ALTERNATIVE A/PHY - C+
13F,Bachelor of Technology (Science Laboratory Technology),BIO - C+ MAT ALTERNATIVE A/PHY - C+
13F,Bachelor of Science (Medical Psychology),BIO - C+ MAT ALTERNATIVE A/PHY - C+
13G,Bachelor of Science (Health Records and Informatics),BIO/BSC - C-(MINUS) MAT ALTERNATIVE A - C (PLAIN) ENG/KIS - C+ PHY/CHE/PSC - C (PLAIN)
13G,Bachelor of Science in Health Records and Information,BIO/BSC - C-(MINUS) MAT ALTERNATIVE A - C (PLAIN) ENG/KIS - C+ PHY/CHE/PSC - C (PLAIN)
13G,Bachelor of Science (Health Records & Information,BIO/BSC - C-(MINUS) MAT ALTERNATIVE A - C (PLAIN) ENG/KIS - C+ PHY/CHE/PSC - C (PLAIN)
13G,Bachelor of Science (Health Records and Information,BIO/BSC - C-(MINUS) MAT ALTERNATIVE A - C (PLAIN) ENG/KIS - C+ PHY/CHE/PSC - C (PLAIN)
13G,Bachelor of Science in Health Records Management &,BIO/BSC - C-(MINUS) MAT ALTERNATIVE A - C (PLAIN) ENG/KIS - C+ PHY/CHE/PSC - C (PLAIN)
14A,Bachelor of Arts History and Archaeology),HAG - C+
14A,Bachelor of Arts (History),HAG - C+
14A,"Bachelor of Arts (History and Archaeology, With IT)",HAG - C+
14A,Bachelor of Arts in History & International Studies,HAG - C+
15A,Bachelor of Science (Animal Health & Production),BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
