cluster_code,programme_name,requirements
8A,Bachelor of Science (Agribusiness),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Economics & Resource Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Agribusiness Management,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,"Bachelor of Science (Agricultural Economics, With IT)",MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agribusiness Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agribusiness Economics and Food Industry Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science Agribusiness Management,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Economics and Rural Development),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Resource Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agricultural Economics and Rural Development,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agribusiness Management and,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Economics and Resource Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agribusiness Management,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Economics),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agricultural Resource Economics and,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agricultural Economics and Resource Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science Agribusiness Management and,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agriculture Economics & Resource Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agribusiness Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agricultural Economics,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agri Business Management),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agricultural Resource Management,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science (Agribusiness Management & Trade),MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,Bachelor of Science in Agribusiness Management and Trade,MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
8A,"Bachelor of Science (Agribusiness Management, With IT)",MAT ALTERNATIVE A - C(PLAIN) BIO - C (PLAIN)/AGRIC - C+/BST - C+
9A,Bachelor of Science,MAT ALTERNATIVE A - C (PLAIN) BIO/CHE/PHY - C (PLAIN) BIO/PHY/CHE - C (PLAIN)
9A,"Bachelor of Science (Basic Science, With IT)",MAT ALTERNATIVE A - C (PLAIN) BIO/CHE/PHY - C (PLAIN) BIO/PHY/CHE - C (PLAIN)
9A,Bachelor of Science (B.sc),MAT ALTERNATIVE A - C (PLAIN) BIO/CHE/PHY - C (PLAIN) BIO/PHY/CHE - C (PLAIN)
9B,Bachelor of Science in Biology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Cellular and Molecular Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Biological Sciences),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Molecular & Cellular Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Applied Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Entomology and Parasitology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Applied Biology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biotechnology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Technology (Applied Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
